regno,n,ran,wins,st_sum,st_n,ran1,win1,ran2,win2,ran3,win3,ran4,win4,ran5,win5,ran6,win6
3611,418,413,71,61.44,415,82,43,71,12,68,7,67,6,57,2,68,1
3612,589,585,139,81.81,586,138,81,97,13,87,13,88,10,85,8,90,14
3613,526,519,128,76.67,522,101,68,88,26,93,22,84,11,78,1,75,0
3614,474,473,36,78.05000000000001,474,64,15,89,3,92,6,85,6,85,5,58,1
3615,482,479,52,75.94,480,67,29,92,3,93,7,84,9,78,3,65,1
3616,423,418,62,66.64,418,73,33,71,7,72,6,70,8,65,6,67,2
3617,390,388,47,72.21000000000001,389,54,27,67,8,78,5,73,5,68,2,48,0
3618,511,506,122,87.50999999999999,507,115,70,80,17,85,17,83,12,71,1,72,5
3619,484,484,70,91.68,484,89,40,87,13,78,9,75,4,74,3,81,1
3620,378,374,36,66.98,375,53,22,77,4,67,2,65,6,62,2,50,0
3621,424,414,66,71.91,421,76,39,67,6,72,10,69,7,57,2,73,2
3623,506,500,197,68.99000000000001,501,129,94,88,15,58,26,78,12,68,23,79,27
3627,447,443,72,80.43,446,76,39,71,4,83,10,76,13,70,3,67,3
3629,468,463,99,67.42000000000002,463,91,56,77,15,80,10,73,10,72,7,70,1
3630,268,264,12,43.67,267,39,6,45,1,47,1,50,2,46,2,37,0
3631,241,231,15,41.66,233,25,9,39,3,39,1,43,1,42,0,43,1
3635,457,453,69,74.94999999999999,455,83,38,77,10,73,12,64,4,68,4,88,1
3637,419,419,30,76.1,419,66,13,72,6,72,5,76,5,77,1,56,0
3641,523,515,108,84.50999999999999,520,96,56,90,12,93,16,83,13,84,10,69,1
3642,362,355,20,65.11,357,48,12,69,1,69,3,61,1,58,2,50,1
3643,455,449,58,77.84,453,81,41,74,4,77,4,76,4,65,4,76,1
3645,219,216,44,29.990000000000002,215,33,14,41,10,38,9,32,7,35,2,37,2
3647,437,436,21,72.19999999999999,436,66,14,72,1,77,2,77,3,81,1,63,0
3652,374,373,30,71.59,373,59,25,68,1,73,0,68,4,57,0,48,0
3653,345,340,20,65.60000000000001,343,57,13,63,2,56,3,55,0,59,2,50,0
3654,522,516,148,84.86,519,121,78,88,20,83,18,82,16,66,8,76,8
3655,509,504,70,91.61,507,101,50,96,4,85,9,81,4,75,3,66,0
3656,371,369,34,61.1,369,62,21,62,3,69,3,66,4,55,2,55,1
3659,367,363,48,62.62,364,65,32,64,5,61,2,52,6,62,2,59,1
3660,364,359,14,70.38,362,47,11,71,0,64,1,68,0,65,2,44,0
3661,482,477,53,82.5,482,84,30,89,8,86,7,74,4,77,4,67,0
3662,504,501,100,80.52,502,95,49,79,11,87,20,85,10,71,9,84,1
3663,532,530,72,88.92000000000002,531,85,42,95,11,97,11,88,5,88,3,77,0
3664,444,440,73,77.97,443,72,40,84,13,73,6,70,9,77,2,64,3
3668,62,62,1,12.409999999999998,62,6,1,14,0,14,0,9,0,11,0,8,0
3674,76,74,12,11.52,75,10,2,15,3,8,3,13,2,14,1,14,1
3679,499,489,115,78.24000000000001,496,102,83,78,12,75,9,88,8,77,3,69,0
3680,426,422,37,86.44,424,61,18,75,3,82,8,75,3,68,5,61,0
3681,324,320,43,51.23,322,53,23,55,11,59,1,56,6,49,2,48,0
3682,78,78,1,15.729999999999997,78,12,1,13,0,14,0,13,0,14,0,12,0
3684,476,472,86,83.85,475,93,52,81,15,77,5,78,8,64,6,79,0
3685,443,435,76,69.63,440,74,39,74,13,80,10,75,8,63,5,69,1
3686,518,511,99,72.16000000000001,512,98,60,84,13,89,11,80,8,78,6,82,1
3687,344,340,41,57.25,341,54,29,71,4,53,4,60,0,52,3,50,1
3690,466,464,54,84.96000000000001,466,67,26,85,7,87,13,82,5,79,3,64,0
3692,413,405,48,62.71,407,70,29,71,4,74,7,68,5,55,2,67,1
3693,9,9,1,2.21,9,2,0,1,1,2,0,1,0,2,0,1,0
3696,438,437,47,79.52000000000001,437,73,27,81,4,79,7,69,3,74,5,61,1
3697,42,40,5,6.42,41,5,3,10,1,6,0,6,0,7,1,6,0
3699,350,343,37,62.660000000000004,348,46,11,64,9,57,3,62,9,56,4,58,1
3701,404,397,31,64.21000000000001,401,51,15,76,5,75,3,68,4,71,4,56,0
3702,134,133,11,20.06,133,22,6,21,2,19,0,25,3,21,0,25,0
3703,458,450,92,77.82,455,94,50,75,16,78,11,74,5,61,4,68,6
3704,278,275,16,60.74000000000001,276,41,8,54,4,51,2,47,0,47,2,35,0
3708,461,460,59,72.87,459,72,31,85,12,72,3,84,6,80,4,67,3
3710,420,413,39,72.49,418,55,20,71,5,82,6,73,4,70,4,62,0
3711,581,578,115,90.98,580,124,70,95,15,98,10,92,12,80,4,89,4
3712,422,421,52,63.22,422,68,36,69,3,85,6,76,6,66,1,57,0
3713,461,452,89,66.17,457,82,44,78,10,72,14,72,13,65,5,83,3
3714,406,406,45,64.11,406,60,22,75,7,79,10,67,3,73,3,52,0
3715,336,330,35,53.05,333,51,20,56,5,62,8,64,1,48,0,49,1
3716,483,478,98,59.74,482,96,55,74,12,78,13,85,10,71,6,74,2
3717,371,363,72,57.67,367,67,37,62,9,56,8,57,7,53,7,68,4
3718,415,412,46,73.73,411,62,33,72,6,69,5,72,1,75,1,62,0
3719,492,484,106,74.97,485,101,61,84,12,69,9,72,12,74,6,84,6
3721,455,449,131,56.010000000000005,452,100,80,73,13,71,15,68,7,67,7,70,9
3722,367,364,13,64.71,366,48,6,62,3,70,1,68,3,67,0,49,0
3726,330,327,36,52.89,327,48,14,59,8,57,7,56,1,56,5,51,1
3730,461,460,50,79.11,461,69,30,81,4,92,11,76,4,83,1,59,0
3731,413,409,55,74.38999999999999,413,66,30,75,10,81,7,63,5,67,0,57,3
3736,262,257,26,43.010000000000005,260,37,13,47,2,49,3,40,5,47,1,37,2
3737,463,455,117,77.2,459,106,67,76,17,72,21,62,5,67,3,72,4
3740,484,479,120,79.97,480,100,58,79,14,82,16,65,10,68,13,85,9
3741,389,388,27,70.72,389,53,22,78,1,70,3,66,1,73,0,48,0
3742,363,356,33,66.82,362,51,19,59,5,66,6,63,1,64,2,53,0
3743,511,504,148,74.49,509,123,75,79,11,76,15,81,19,70,14,75,14
3744,557,552,168,71.19,553,124,93,84,14,87,21,95,18,79,8,83,14
3745,395,390,54,66.29,391,74,38,70,6,68,3,54,2,60,4,64,1
3746,596,589,97,102.07,594,119,73,96,10,106,5,92,4,82,3,94,2
3747,442,438,67,68.74,440,69,38,80,7,76,5,71,12,73,3,69,2
3748,415,413,23,68.55000000000001,413,63,10,81,3,76,4,61,5,78,1,54,0
3752,409,405,33,65.78999999999999,409,56,19,74,2,74,4,75,3,75,4,51,1
3757,388,384,49,61.67,386,54,29,66,7,76,0,73,9,62,2,53,2
3761,418,411,64,68.13,414,62,35,73,11,68,7,76,3,73,8,59,0
3769,368,363,53,62.010000000000005,362,66,32,67,7,62,5,48,5,59,3,61,1
3771,432,429,67,60.77,431,78,41,71,9,77,7,67,4,72,4,64,2
3772,416,410,54,63.38000000000001,413,80,37,65,5,68,4,68,6,63,2,66,0
3773,392,388,50,62.78,387,59,24,73,5,66,7,69,11,69,2,52,1
3775,475,467,43,81.84,474,67,24,83,4,87,6,80,4,79,5,71,0
3776,409,403,14,74.2,408,55,7,72,5,71,1,75,1,67,0,63,0
3777,521,514,118,90.39,516,103,57,87,24,85,12,75,11,76,9,88,5
3778,290,285,19,61.14,288,40,11,57,0,55,4,51,4,46,0,36,0
3779,474,469,144,53.980000000000004,470,104,80,67,10,78,19,73,18,67,5,80,12
3780,119,117,25,17.29,119,23,16,24,4,19,2,19,2,16,1,16,0
3783,485,483,110,70.56,484,105,61,77,21,82,12,66,6,75,8,78,2
3784,409,403,48,63.93000000000001,406,60,21,68,6,83,8,72,7,66,4,54,2
3787,314,303,18,58.7,308,42,11,55,4,56,1,49,2,51,0,50,0
3788,319,310,67,39.3,313,53,34,59,9,47,7,50,10,58,5,43,2
3790,378,374,31,67.6,373,53,19,72,5,67,3,57,2,69,2,56,0
3792,395,390,81,65.14,393,75,42,67,12,67,9,57,8,62,3,62,7
3793,338,331,30,56.239999999999995,334,46,16,62,6,55,3,55,3,61,2,52,0
3796,488,486,60,80.81,487,79,34,82,8,85,6,85,5,77,6,78,1
3797,425,421,20,85.57,423,60,12,79,5,82,3,74,0,69,0,57,0
3800,362,361,64,56.52,361,73,37,56,10,61,6,58,6,52,4,61,1
